rounds,score
1,25761000
2,25761000
3,25761000
4,25761000
5,25761000
6,25761000
7,25834200
8,25834200
9,25834200
10,25980600
11,25980600
12,25980600
13,25980600
14,25980600
15,26053800
16,26053800
17,26200200
18,26273400
19,26346600
20,26346600
21,26346600
22,26346600
23,26346600
24,26346600
25,26346600
26,26346600
27,26346600
28,26346600
29,26346600
30,26346600
31,26346600
32,26346600
33,26346600
34,26346600
35,26346600
36,26346600
37,26346600
38,26346600
39,26346600
40,26346600
41,26346600
42,26419800
43,26419800
44,26419800
45,26419800
46,26419800
47,26419800
48,26493000
49,26493000
50,26493000
51,26493000
52,26493000
53,26493000
54,26493000
55,26493000
56,26493000
57,26493000
58,26493000
59,26493000
60,26493000
61,26493000
62,26493000
63,26493000
64,26566200
65,26639400
66,26639400
67,26639400
68,26639400
69,26639400
70,26712600
71,26785800
72,26859000
73,26859000
74,26859000
75,26859000
76,26859000
77,26932200
78,27005400
79,27005400
80,27078600
81,27078600
82,27078600
83,27078600
84,27078600
85,27078600
86,27078600
87,27078600
88,27078600
89,27151800
90,27151800
91,27151800
92,27151800
93,27151800
94,27151800
95,27151800
96,27151800
97,27151800
98,27151800
99,27151800
100,27151800
101,27225000
102,27225000
103,27225000
104,27225000
105,27225000
106,27225000
107,27225000
108,27225000
109,27225000
111,27225000
112,27225000
113,27225000
114,27225000
115,27225000
116,27225000
117,27225000
118,27225000
119,27225000
120,27225000
121,27225000
122,27225000
124,27225000
125,27225000
126,27225000
127,27298200
128,27298200
129,27298200
130,27298200
131,27298200
132,27298200
133,27298200
134,27298200
135,27298200
136,27298200
137,27298200
138,27298200
139,27298200
140,27298200
141,27298200
142,27298200
143,27298200
144,27371400
145,27444600
146,27444600
147,27444600
148,27444600
149,27444600
150,27444600
151,27444600
152,27444600
153,27444600
154,27444600
155,27444600
156,27444600
157,27444600
158,27444600
159,27444600
160,27444600
161,27444600
162,27444600
163,27444600
164,27444600
165,27444600
166,27444600
167,27444600
168,27444600
169,27444600
170,27444600
171,27444600
172,27444600
173,27444600
174,27444600
175,27444600
176,27444600
177,27444600
178,27444600
179,27444600
