algorithm,number of houses,rounds,highest score,lowest score,score difference,swaps,moves,total runtime (sec)
random,20,1000,12174540,8564220,3610320,0,0,21.799888078992808
random,20,1000,12331140,8474400,3856740,0,0,27.626460778022192
random,20,1000,12211080,8519340,3691740,0,0,20.556612213995322
random,20,1000,12375360,8504760,3870600,0,0,19.92235739499756
random,20,1000,12083520,8602800,3480720,0,0,21.116342807016736
hillSwaps,20,1000,12856320,12232740,623580,9,0,84.90122083499409
hillSwaps,20,1000,12649740,12307740,342000,6,0,80.54735114297364
hillSwaps,20,1000,13281060,12601800,679260,13,0,88.30118975000096
hillSwaps,20,1000,13139460,12391740,747720,12,0,87.33407393999732
hillSwaps,20,1000,14006700,12426240,1580460,14,0,98.954345937982
hillMoves,20,1000,14565000,10465799,4099201,0,352,77.08164255199881
hillMoves,20,1000,14565000,12881400,1683600,0,432,74.12873042000138
hillMoves,20,1000,13320600,7977000,5343600,0,460,53.49694160399849
hillMoves,20,1000,13467000,11783400,1683600,0,221,62.19147889299893
hillMoves,20,1000,14565000,11051400,3513600,0,314,63.44420369100044
simAnnealing,20,998,13393800,10099800,3294000,0,934,31.75429959900066
simAnnealing,20,998,10905000,8123400,2781600,0,948,7.526496652000787
simAnnealing,20,998,14052600,11197800,2854800,0,940,33.45823810500042
simAnnealing,20,998,11563800,10172999,1390801,0,945,21.07602196300104
random,40,1000,19269360,16210740,3058620,0,0,26.28019627994763
random,40,1000,19558800,15910920,3647880,0,0,25.707213964971743
random,40,1000,19187040,16163760,3023280,0,0,30.127468428998327
random,40,1000,19400160,16153080,3247080,0,0,29.737590034996174
random,40,1000,19295640,16143060,3152580,0,0,31.87321518103454
hillSwaps,40,1000,20348520,19378020,970500,17,0,75.52784122993944
hillSwaps,40,1000,19996380,18929940,1066440,21,0,73.29662111602374
hillSwaps,40,1000,19704240,18831420,872820,20,0,77.47525669103015
hillSwaps,40,1000,19856340,19118400,737940,15,0,76.06086046701967
hillSwaps,40,1000,19988340,19243620,744720,28,0,76.96337415297603
hillMoves,40,1000,23347200,18003600,5343600,0,558,45.23701887399875
hillMoves,40,1000,22688400,16832400,5856000,0,597,39.717085618000056
hillMoves,40,1000,23493600,19321200,4172400,0,460,46.55886163300056
hillMoves,40,1000,22395600,17637600,4758000,0,533,39.84353183300118
hillMoves,40,1000,23347200,18516000,4831200,0,562,44.8031920100002
simAnnealing,40,998,19394400,16832400,2562000,0,925,11.932118689001072
simAnnealing,40,998,20492400,17564400,2928000,0,941,18.17589437100105
simAnnealing,40,998,22029600,19321200,2708400,0,933,29.81951804900018
simAnnealing,40,998,21078000,18735600,2342400,0,941,23.028949505000128
simAnnealing,40,998,21297600,19540800,1756800,0,954,28.94533706400034
random,60,1000,25415340,23007480,2407860,0,0,47.87620548397172
random,60,1000,25659120,23239140,2419980,0,0,48.06838527902437
random,60,1000,25401240,23171400,2229840,0,0,54.534881281975686
random,60,1000,25717680,23146140,2571540,0,0,48.46121228002448
random,60,1000,25466700,23170740,2295960,0,0,49.87607573598143
hillSwaps,60,1000,25932240,25340820,591420,20,0,91.52637573401262
hillSwaps,60,1000,26349060,25534860,814200,22,0,95.62817790898589
hillSwaps,60,1000,26530860,25683300,847560,17,0,98.09197414298797
hillSwaps,60,1000,26253540,25560420,693120,24,0,90.22605130694865
hillSwaps,60,1000,26728080,25819920,908160,24,0,96.44935046803585
hillMoves,60,1000,30958200,24809400,6148800,0,454,42.68229581599917
hillMoves,60,1000,28689000,24443400,4245600,0,508,27.731282239999928
hillMoves,60,1000,31324200,24736200,6588000,0,484,42.62053505699987
hillMoves,60,1000,30153000,24370200,5782800,0,525,36.79537783299929
hillMoves,60,1000,28323000,24443400,3879600,0,610,27.051599583001007
simAnnealing,60,998,27444600,23931000,3513600,0,939,16.522576837000088
simAnnealing,60,998,29055000,27151800,1903200,0,921,18.087848140999995
simAnnealing,60,998,26346600,25395000,951600,0,936,13.712610084001426
simAnnealing,60,998,27298200,25102200,2196000,0,942,13.008737650001422
simAnnealing,60,998,25980600,24663000,1317600,0,938,14.307949021998866
simAnnealing,20,998,12442200,9733800,2708400,0,927,23.84408775100019
random,20,1000,12508020,8657100,3850920,0,0,20.574885175999043
random,20,1000,12042240,8413740,3628500,0,0,20.094095330998243
random,20,1000,12978420,8475540,4502880,0,0,21.825363371990534
random,20,1000,12303960,8648580,3655380,0,0,20.916588752010284
random,20,1000,12099480,8785860,3313620,0,0,19.896518851011933
random,40,1000,18890880,16242660,2648220,0,0,27.717336195991265
random,40,1000,18944520,15910740,3033780,0,0,28.27000548202159
random,40,1000,19352640,16114740,3237900,0,0,32.57420498900319
random,40,1000,19093680,16078500,3015180,0,0,31.67511071199806
random,40,1000,18999780,15869880,3129900,0,0,30.60544094400393
random,60,1000,25710240,23163000,2547240,0,0,51.70686007000768
random,60,1000,26030520,23018460,3012060,0,0,55.03312093200475
random,60,1000,25625820,23067900,2557920,0,0,48.87304127499465
random,60,1000,25570020,23186940,2383080,0,0,51.67517476300509
random,60,1000,25843800,23119440,2724360,0,0,52.49554619098399
hillSwaps,20,1000,13095720,12177900,917820,9,0,92.11521579099463
hillSwaps,20,1000,12925920,12359760,566160,13,0,98.60383166599058
hillSwaps,20,1000,13729800,12450540,1279260,13,0,98.72620012798143
hillSwaps,20,1000,13282499,12565080,717419,10,0,89.42345446798754
hillSwaps,20,1000,12739320,12231959,507361,8,0,82.84717312799876
hillSwaps,40,1000,20172660,19052400,1120260,23,0,85.56556330999962
hillSwaps,40,1000,20087340,19210800,876540,13,0,82.1085106949991
hillSwaps,40,1000,19650780,19224840,425940,13,0,77.57366645799948
hillSwaps,40,1000,20082480,19101060,981420,20,0,91.21831489699917
hillSwaps,40,1000,20121240,19061880,1059360,24,0,85.53865532299926
hillSwaps,60,1000,26440920,25692780,748140,20,0,96.96601903399937
hillSwaps,60,1000,26612160,25790400,821760,20,0,105.10538803000213
hillSwaps,60,1000,26203440,25488840,714600,22,0,94.13399959900039
hillSwaps,60,1000,26209920,25531140,678780,18,0,103.85859203299856
hillSwaps,60,1000,26266080,25335540,930540,22,0,98.70327188300394
hillMoves,20,1000,14565000,11783400,2781600,0,525,65.23836693700014
hillMoves,20,1000,14565000,9660600,4904400,0,438,56.87035261999995
hillMoves,20,1000,12002999,8855400,3147599,0,379,32.02345722200016
hillMoves,20,1000,14565000,11197800,3367200,0,411,72.51392647900002
hillMoves,20,1000,11783400,8855400,2928000,0,437,27.44619523099982
hillMoves,40,1000,22688400,18589200,4099200,0,451,41.39961415700009
hillMoves,40,1000,22981200,17052000,5929200,0,543,41.20297827500008
hillMoves,40,1000,22322400,19174800,3147600,0,476,51.55522004900013
hillMoves,40,1000,24079200,17784000,6295200,0,508,45.1591199479999
hillMoves,40,1000,22176000,17418000,4758000,0,547,41.45980527900019
hillMoves,60,1000,30006600,24663000,5343600,0,444,42.195797603999836
hillMoves,60,1000,30665400,25541400,5124000,0,429,42.66677765400027
hillMoves,60,1000,27810600,24443400,3367200,0,524,25.87426965099985
hillMoves,60,1000,30079800,23711400,6368400,0,447,30.612173342999995
hillMoves,60,1000,28542600,23711400,4831200,0,471,26.162444445000347
simAnnealing,20,998,11856600,9733800,2122800,0,935,13.964420341999812
simAnnealing,20,998,11856600,7830600,4026000,0,926,11.73581573499996
simAnnealing,20,998,13467000,9001800,4465200,0,920,24.5383926909999
simAnnealing,20,998,12954600,10612200,2342400,0,927,35.287764053000046
simAnnealing,20,998,13174200,9733799,3440401,0,952,30.926102780000292
simAnnealing,20,998,14199000,11710200,2488800,0,916,39.61053665600002
simAnnealing,40,998,20346000,17271600,3074400,0,928,18.756593435000013
simAnnealing,40,998,19833599,18296400,1537199,0,928,16.95383340599983
simAnnealing,40,998,20931600,17271600,3660000,0,910,19.14248995600019
simAnnealing,40,998,20858400,18589200,2269200,0,937,21.127463993999754
simAnnealing,40,998,22468799,18442800,4025999,0,952,23.591282396000224
simAnnealing,60,998,27883800,24004200,3879600,0,920,15.337577078999857
simAnnealing,60,998,27371400,24955800,2415600,0,926,14.89531234900005
simAnnealing,60,998,26566200,25321800,1244400,0,939,15.059905615999924
simAnnealing,60,998,25614600,22686600,2928000,0,932,10.27257276499995
simAnnealing,60,998,27957000,25687800,2269200,0,941,17.643480444000033
simAnnealing,20,1533,14418600,11417400,3001200,0,1472,54.12978077200023
simAnnealing,20,1899,13100999,8855400,4245599,0,1834,41.30998492700019
simAnnealing,20,1899,12808200,11490600,1317600,0,1819,30.390330182999605
hillSwaps,60,1000,26459160,25523160,936000,27,0,65.60568295518169
random,20,1000,12176760,8351040,3825720,0,0,11.276912088826066
random,40,1000,19026960,15955380,3071580,0,0,13.968879129504785
random,60,1000,25668300,23030040,2638260,0,0,24.233478501584614
hillSwaps,20,1000,12608700,12126420,482280,11,0,47.119509229640244
hillSwaps,40,1000,20015280,19319820,695460,17,0,47.29138495368534
hillSwaps,60,1000,25783800,25349220,434580,18,0,48.031806174549274
hillMoves,20,1000,13467000,8855400,4611600,0,399,29.6935940659896
hillMoves,40,1000,22834800,18003600,4831200,0,475,26.225910898996517
hillMoves,60,1000,30299400,25175400,5124000,0,556,22.429024286015192
simAnnealing,20,998,12076200,9733800,2342400,0,907,18.976003065006807
simAnnealing,40,998,21883200,17271600,4611600,0,939,15.496485093986848
simAnnealing,60,998,26566200,24882600,1683600,0,926,8.124229339999147
hillMoves,60,1000,30665399,25687800,4977599,0,453,29.093159601005027
hillMoves,60,1000,27517800,24297000,3220800,0,619,13.828904407011578
hillMoves,60,1000,30372600,24370200,6002400,0,394,24.872141746018315
random,60,1000,25636020,23004300,2631720,0,0,25.10879196500173
random,60,1000,25522980,22940460,2582520,0,0,24.77484205554356
hillMoves,60,1000,28908600,24297000,4611600,0,593,343.8191136799869
